scenario,lens,test,condition,preference_score,rank,display_position
independent-lab,critical-rationalism,testA,A,0.2,3,3
independent-lab,critical-rationalism,testB,B,0.34,1,1
independent-lab,critical-rationalism,testC,C,0.23,2,4
independent-lab,critical-rationalism,testD,D,0.04,5,2
independent-lab,critical-rationalism,testE,E,0.19,4,5
independent-lab,social,testA,A,0.06,4,4
independent-lab,social,testB,B,0.12,3,2
independent-lab,social,testC,C,0.17,2,3
independent-lab,social,testD,D,0.64,1,5
independent-lab,social,testE,E,0.01,5,1
independent-lab,economic,testA,A,0.2,3,5
independent-lab,economic,testB,B,0.23,2,1
independent-lab,economic,testC,C,0.09,4,3
independent-lab,economic,testD,D,0.47,1,4
independent-lab,economic,testE,E,0.01,5,2
legacy-rewrite,critical-rationalism,testA,A,0.05,4,2
legacy-rewrite,critical-rationalism,testB,B,0.59,1,5
legacy-rewrite,critical-rationalism,testC,C,0.16,3,1
legacy-rewrite,critical-rationalism,testD,D,0.19,2,4
legacy-rewrite,critical-rationalism,testE,E,0.01,5,3
legacy-rewrite,social,testA,A,0.44,1,5
legacy-rewrite,social,testB,B,0.28,2,2
legacy-rewrite,social,testC,C,0.02,5,4
legacy-rewrite,social,testD,D,0.16,3,1
legacy-rewrite,social,testE,E,0.1,4,3
legacy-rewrite,economic,testA,A,0.1,3,5
legacy-rewrite,economic,testB,B,0.64,1,3
legacy-rewrite,economic,testC,C,0.06,4,4
legacy-rewrite,economic,testD,D,0.14,2,2
legacy-rewrite,economic,testE,E,0.06,4,1
churn-cause,critical-rationalism,testA,A,0.38,2,2
churn-cause,critical-rationalism,testB,B,0.42,1,3
churn-cause,critical-rationalism,testC,C,0.06,4,1
churn-cause,critical-rationalism,testD,D,0.13,3,4
churn-cause,critical-rationalism,testE,E,0.01,5,5
churn-cause,social,testA,A,0.24,2,2
churn-cause,social,testB,B,0.58,1,4
churn-cause,social,testC,C,0.02,5,5
churn-cause,social,testD,D,0.06,4,1
churn-cause,social,testE,E,0.1,3,3
churn-cause,economic,testA,A,0.06,4,3
churn-cause,economic,testB,B,0.46,1,1
churn-cause,economic,testC,C,0.31,2,4
churn-cause,economic,testD,D,0.16,3,5
churn-cause,economic,testE,E,0.01,5,2
