scenario,test,condition,preference_score,rank,display_position
independent-lab,testA,A,0.49,1,2
independent-lab,testB,B,0.3,2,1
independent-lab,testC,C,0.16,3,3
independent-lab,testD,D,0.03,4,5
independent-lab,testE,E,0.02,5,4
legacy-rewrite,testA,A,0.24,2,3
legacy-rewrite,testB,B,0.09,3,5
legacy-rewrite,testC,C,0.06,4,2
legacy-rewrite,testD,D,0.58,1,1
legacy-rewrite,testE,E,0.03,5,4
churn-cause,testA,A,0.08,3,1
churn-cause,testB,B,0.16,2,3
churn-cause,testC,C,0.06,4,5
churn-cause,testD,D,0.69,1,2
churn-cause,testE,E,0.01,5,4
