scenario,test,condition,preference_score,rank,display_position
independent-lab,testA,A,0.2,3,3
independent-lab,testB,B,0.34,1,1
independent-lab,testC,C,0.23,2,4
independent-lab,testD,D,0.04,5,2
independent-lab,testE,E,0.19,4,5
legacy-rewrite,testA,A,0.05,4,2
legacy-rewrite,testB,B,0.59,1,5
legacy-rewrite,testC,C,0.16,3,1
legacy-rewrite,testD,D,0.19,2,4
legacy-rewrite,testE,E,0.01,5,3
churn-cause,testA,A,0.38,2,2
churn-cause,testB,B,0.42,1,3
churn-cause,testC,C,0.06,4,1
churn-cause,testD,D,0.13,3,4
churn-cause,testE,E,0.01,5,5
