scenario,comparison,option,preference_score,rank,display_position
independent-lab,critical-rationalism,testA,0.18,3,4
independent-lab,critical-rationalism,testB,0.25,2,3
independent-lab,critical-rationalism,testC,0.01,5,5
independent-lab,critical-rationalism,testD,0.1,4,2
independent-lab,critical-rationalism,testE,0.45999999999999996,1,1
independent-lab,economic,testA,0.06,5,2
independent-lab,economic,testB,0.31,1,4
independent-lab,economic,testC,0.25,3,3
independent-lab,economic,testD,0.11,4,1
independent-lab,economic,testE,0.27,2,5
independent-lab,social,testA,0.1,4,2
independent-lab,social,testB,0.41,1,1
independent-lab,social,testC,0.1,4,4
independent-lab,social,testD,0.15,3,3
independent-lab,social,testE,0.24,2,5
independent-lab,cross-lens,critical-rationalism,0.24,2,1
independent-lab,cross-lens,economic,0.13,3,2
independent-lab,cross-lens,social,0.63,1,3
legacy-rewrite,critical-rationalism,testA,0.44,1,5
legacy-rewrite,critical-rationalism,testB,0.02,5,2
legacy-rewrite,critical-rationalism,testC,0.09,4,1
legacy-rewrite,critical-rationalism,testD,0.18,3,3
legacy-rewrite,critical-rationalism,testE,0.27,2,4
legacy-rewrite,economic,testA,0.08,4,4
legacy-rewrite,economic,testB,0.36,1,2
legacy-rewrite,economic,testC,0.04,5,5
legacy-rewrite,economic,testD,0.2,3,3
legacy-rewrite,economic,testE,0.32,2,1
legacy-rewrite,social,testA,0.29,2,3
legacy-rewrite,social,testB,0.14,3,2
legacy-rewrite,social,testC,0.03,5,1
legacy-rewrite,social,testD,0.04,4,4
legacy-rewrite,social,testE,0.5,1,5
legacy-rewrite,cross-lens,critical-rationalism,0.23,2,2
legacy-rewrite,cross-lens,economic,0.71,1,1
legacy-rewrite,cross-lens,social,0.06,3,3
churn-cause,critical-rationalism,testA,0.26,2,1
churn-cause,critical-rationalism,testB,0.55,1,2
churn-cause,critical-rationalism,testC,0.06,4,4
churn-cause,critical-rationalism,testD,0.04,5,3
churn-cause,critical-rationalism,testE,0.08,3,5
churn-cause,economic,testA,0.34,2,4
churn-cause,economic,testB,0.48,1,1
churn-cause,economic,testC,0.06,4,5
churn-cause,economic,testD,0.1,3,2
churn-cause,economic,testE,0.02,5,3
churn-cause,social,testA,0.37,1,4
churn-cause,social,testB,0.18,4,3
churn-cause,social,testC,0.22,2,1
churn-cause,social,testD,0.22,2,5
churn-cause,social,testE,0.01,5,2
churn-cause,cross-lens,critical-rationalism,0.21,3,2
churn-cause,cross-lens,economic,0.32,2,3
churn-cause,cross-lens,social,0.47,1,1
